"n","Insertion-Sort-Iterative","Quick-Sort","Quick-Insertion-Sort","Merge-Insertion-Sort"
10,0.0000000000,0.0000000000,0.0000000000,0.0000000000
20,0.0000000000,0.0000000000,0.0000000000,0.0000000000
30,0.0000200000,0.0000000000,0.0000000000,0.0000000000
40,0.0000000000,0.0000187500,0.0000000000,0.0000387500
50,0.0000000000,0.0000000000,0.0000000000,0.0000212500
60,0.0000187500,0.0000200000,0.0000187500,0.0000000000
70,0.0000587500,0.0000187500,0.0000000000,0.0000187500
80,0.0000187500,0.0000200000,0.0000200000,0.0000187500
90,0.0000200000,0.0000000000,0.0000000000,0.0000200000
