"n","Quick-Sort","Quick-Sort-Pivot-Middle","Quick-Sort-Pivot-First","Quick-Sort-Pivot-Random"
10,0.0000000000,0.0000012500,0.0000000000,0.0000000000
20,0.0000000000,0.0000000000,0.0000000000,0.0000000000
30,0.0000000000,0.0000000000,0.0000000000,0.0000200000
40,0.0000000000,0.0000000000,0.0000000000,0.0000000000
50,0.0000187500,0.0000000000,0.0000000000,0.0000000000
60,0.0000000000,0.0000000000,0.0000187500,0.0000000000
70,0.0000000000,0.0000200000,0.0000000000,0.0000400000
80,0.0000000000,0.0000000000,0.0000187500,0.0000375000
90,0.0000400000,0.0000025000,0.0000387500,0.0000200000
